2025-12-18 20:06:46 | INFO | anova_plan | Reading time table: STATISTIC_TEST/time_table.tsv (sep='\t')
2025-12-18 20:06:46 | INFO | anova_plan | Excluded fs_method=['SKB']: 252 -> 210 rows
2025-12-18 20:06:46 | INFO | anova_plan | Excluded classifiers=['ADA', 'QDA']: 210 -> 180 rows
2025-12-18 20:06:46 | INFO | anova_plan | n_dist: 3
2025-12-18 20:06:46 | INFO | anova_plan | Selected classifiers (7): ['ET', 'CAT', 'LDA', 'KNN', 'MLP', 'GNB', 'DT']
2025-12-18 20:06:46 | INFO | anova_plan | Selected models (model, family):
2025-12-18 20:06:46 | INFO | anova_plan |   - (ET, bagging)
2025-12-18 20:06:46 | INFO | anova_plan |   - (CAT, boosting)
2025-12-18 20:06:46 | INFO | anova_plan |   - (LDA, discriminant_linear)
2025-12-18 20:06:46 | INFO | anova_plan |   - (KNN, knn)
2025-12-18 20:06:46 | INFO | anova_plan |   - (MLP, mlp)
2025-12-18 20:06:46 | INFO | anova_plan |   - (GNB, naive_bayes)
2025-12-18 20:06:46 | INFO | anova_plan |   - (DT, tree)
2025-12-18 20:06:46 | INFO | anova_plan | Cost (h, DFS, includes n_dist): 752.1537 / Threshold (h): 900.00
2025-12-18 20:06:46 | INFO | anova_plan | Cost (h, cost_dataset_size selected * n_dist): 752.1537
2025-12-18 20:06:46 | INFO | anova_plan | Replicated rows by n_dist=3 -> 315 rows.
2025-12-18 20:06:46 | INFO | anova_plan | Writing output: STATISTIC_TEST/rep_3/anova_plan_900h.tsv (sep='\t')
2025-12-18 20:06:46 | INFO | anova_plan | Runtime (sec): 0.0825
